SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,14271 Acapulco Rd,San Leandro,CA,94577,625000,4,2.0,Marina Faire,1386,5760,1962,2,451,,Active,,,http://www.redfin.com/CA/San-Leandro/14271-Acapulco-Rd-94577/home/1765258,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906414,N,Y,37.6940947,-122.1789287
MLS Listing,,Single Family Residential,27442 Capri Ave,Hayward,CA,94545,624888,3,2.0,Hayward,1000,5000,1957,3,625,,Active,,,http://www.redfin.com/CA/Hayward/27442-Capri-Ave-94545/home/1452007,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906369,N,Y,37.6262305,-122.1044033
MLS Listing,,Single Family Residential,16093 Mills Ave,San Lorenzo,CA,94580,699000,4,2.0,San Lorenzo Mano,1610,7140,1951,3,434,,Active,,,http://www.redfin.com/CA/San-Lorenzo/16093-Mills-Ave-94580/home/1747890,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906356,N,Y,37.691054,-122.1235497
MLS Listing,,Single Family Residential,2511 Bradford Ave,Hayward,CA,94545,749950,3,2.0,Glen Eden,1651,5238,1958,3,454,,Active,,,http://www.redfin.com/CA/Hayward/2511-Bradford-Ave-94545/home/1011114,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906352,N,Y,37.6358424,-122.1085746
MLS Listing,,Single Family Residential,622 Western Dr,Point Richmond,CA,94801,875000,3,2.5,Contra Costa,1457,2344,1903,3,601,,Active,,,http://www.redfin.com/CA/Richmond/622-Western-Dr-94801/home/1963143,BAREIS,22011694,N,Y,37.928527,-122.392676
MLS Listing,,Single Family Residential,1035 Via Palma,San Lorenzo,CA,94580,738000,3,2.0,San Lorenzo Vilg,1452,8732,1948,3,508,10,Active,,,http://www.redfin.com/CA/San-Lorenzo/1035-Via-Palma-94580/home/1420002,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906308,N,Y,37.6692445,-122.1282748
MLS Listing,,Single Family Residential,4812 Walnut St,Oakland,CA,94619,899000,4,2.5,Maxwell  Park,1592,4080,1916,3,565,,Active,,,http://www.redfin.com/CA/Oakland/4812-Walnut-St-94619/home/1422517,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906294,N,Y,37.7797326,-122.1994141
MLS Listing,,Single Family Residential,145 Elysian Fields Dr,Oakland,CA,94605-4922,899000,3,2.0,Sequoyah Hghlds,1789,12432,1959,3,503,,Active,,,http://www.redfin.com/CA/Oakland/145-Elysian-Fields-Dr-94605/home/601451,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906278,Y,Y,37.7601448,-122.1366818
MLS Listing,,Single Family Residential,3917 Keller Ave,Oakland,CA,94605,799000,4,2.0,Melrose Highlnds,1874,5000,1942,3,426,,Active,,,http://www.redfin.com/CA/Oakland/3917-Keller-Ave-94605/home/1618964,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906275,N,Y,37.7714254,-122.1572862
MLS Listing,,Single Family Residential,2635 Havenscourt Blvd,Oakland,CA,94605,635000,3,2.0,Havenscourt,1256,5000,1925,3,506,,Active,,,http://www.redfin.com/CA/Oakland/2635-Havenscourt-Blvd-94605/home/570658,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905494,N,Y,37.7682918,-122.1839839
